RA;Dec;mag;name;type;brightness;length;width;orient
09,37.5,0;+15,21,0;081;Leo 3                 ;Asterism;081;0200;0200;000
06,53.1,0;-10,08,0;086;Pakan's 3             ;Asterism;086;0270;0210;030
16,36.0,0;+30,46,0;072;Backwards 5           ;Asterism;072;0300;0180;010
23,01.5,0;+59,28,0;048;Lucky 7               ;Asterism;048;1000;1500;030
02,01.5,0;+60,19,0;068;Magic 8               ;Asterism;068;0600;0600;000
06,08.4,0;+13,58,0;073;IC37                  ;Asterism;073;0060;0060;000
20,04.2,0;+38,10,0;074;Fairy Ring            ;Asterism;074;0260;0260;000
21,07.4,0;+16,18,0;089;Toadstool             ;Asterism;089;0150;0150;000
19,49.2,0;+37,55,0;101;Cane                  ;Asterism;101;0150;0070;045
09,42.6,0;+53,13,0;075;Spade                 ;Asterism;075;0350;0700;050
16,54.7,0;-30,58,0;064;Garden Trowell        ;Asterism;064;0400;0800;060
03,31.8,0;+37,24,0;085;Watering Can          ;Asterism;085;0200;0200;000
03,25.7,0;+49,23,0;047;Saxophone             ;Asterism;047;0900;0900;000
06,41.1,0;+09,41,0;046;Christmas Tree        ;Asterism;046;0300;0300;000
20,23.2,0;+40,46,0;072;Rocking Horse         ;Asterism;072;0060;0060;000
13,10.3,0;+57,32,0;083;Eiffel Tower          ;Asterism;083;0300;0300;000
17,03.4,0;-25,46,0;058;Bowed Chimney         ;Asterism;058;0400;1500;045
10,07.7,0;-07,50,0;058;Bowed Minaret         ;Asterism;058;0300;1400;035
14,55.0,0;+55,01,0;079;House on a Hill       ;Asterism;079;0400;0400;000
06,22.8,0;-26,25,0;068;Mt. Everest           ;Asterism;068;0450;0250;085
01,03.0,0;+63,27,0;070;Rollercoaster         ;Asterism;070;0620;1700;020
13,38.8,0;+52,48,0;055;Gas Pump Handle       ;Asterism;055;0600;0600;000
00,01.0,0;+57,10,0;046;Hang Glider           ;Asterism;046;1900;1300;020
23,20.6,0;+62,13,0;052;Airplane              ;Asterism;052;0700;0700;000
21,22.6,0;+49,24,0;057;Rocket                ;Asterism;057;0150;0900;010
13,36.6,0;-32,11,0;068;Nautilus              ;Asterism;068;0350;0450;000
10,14.0,0;+31,17,0;066;Sailboat              ;Asterism;066;0500;0500;000
12,38.9,0;-11,21,0;078;Jaws                  ;Asterism;078;0300;0200;040
22,15.3,0;+58,17,0;035;Crossbow              ;Asterism;035;2300;1600;085
07,12.5,0;-26,53,0;040;Bumerang              ;Asterism;040;1200;1200;000
06,40.5,0;-09,00,0;089;Unicorn's Horn        ;Asterism;089;0090;0090;000
19,54.7,0;+17,21,0;079;Arrowchain            ;Asterism;079;0300;0300;000
18,50.0,0;-08,11,0;072;Arrowhead             ;Asterism;072;0700;0400;035
05,35.3,0;+09,42,0;035;Lambda Lambda         ;Asterism;035;0350;0300;000
02,36.5,0;+06,40,0;050;Cosmic Question Mark  ;Asterism;050;1400;0850;010
00,41.6,0;+61,56,0;085;Yin-Yang              ;Asterism;085;0500;0500;000
16,18.0,0;+13,03,0;082;Zig Zag               ;Asterism;082;0200;0900;055
12,35.8,0;-12,02,0;066;Stargate              ;Asterism;066;0080;0080;000

